Datetime,Automatic Weather Station,Date time,Grass Temperature(degree Celsius)
2024-01-01 00:00:00,King's Park,202383270482.0,18.48
2024-01-01 00:00:00,Ta Kwu Ling,202383270482.0,17.46
2024-01-01 00:00:00,Tai Mo Shan,202383270482.0,12.66
2024-01-01 01:00:00,King's Park,202401010084.0,18.48
2024-01-01 01:00:00,Ta Kwu Ling,202401010084.0,17.28
2024-01-01 01:00:00,Tai Mo Shan,202401010084.0,12.5
2024-01-01 02:00:00,King's Park,202401010182.85715,18.514285714285712
2024-01-01 02:00:00,Ta Kwu Ling,202401010182.85715,17.242857142857144
2024-01-01 02:00:00,Tai Mo Shan,202401010182.85715,12.442857142857141
2024-01-01 03:00:00,King's Park,202401010284.0,18.22
2024-01-01 03:00:00,Ta Kwu Ling,202401010284.0,17.04
2024-01-01 03:00:00,Tai Mo Shan,202401010284.0,12.360000000000001
2024-01-01 04:00:00,King's Park,202401010382.85715,18.257142857142856
2024-01-01 04:00:00,Ta Kwu Ling,202401010382.85715,16.914285714285715
2024-01-01 04:00:00,Tai Mo Shan,202401010382.85715,12.214285714285714
2024-01-01 05:00:00,King's Park,202401010484.0,18.0
2024-01-01 05:00:00,Ta Kwu Ling,202401010484.0,16.44
2024-01-01 05:00:00,Tai Mo Shan,202401010484.0,12.1
2024-01-01 06:00:00,King's Park,202401010582.85715,17.771428571428572
2024-01-01 06:00:00,Ta Kwu Ling,202401010582.85715,17.24285714285714
2024-01-01 06:00:00,Tai Mo Shan,202401010582.85715,12.4
2024-01-01 07:00:00,King's Park,202401010684.0,17.88
2024-01-01 07:00:00,Ta Kwu Ling,202401010684.0,17.439999999999998
2024-01-01 07:00:00,Tai Mo Shan,202401010684.0,12.66
2024-01-01 08:00:00,King's Park,202401010782.85715,17.975
2024-01-01 08:00:00,Ta Kwu Ling,202401010782.85715,18.0
2024-01-01 08:00:00,Tai Mo Shan,202401010782.85715,13.0
2024-01-01 09:00:00,King's Park,202401010884.0,18.25925925925926
2024-01-01 09:00:00,Ta Kwu Ling,202401010884.0,18.455555555555556
2024-01-01 09:00:00,Tai Mo Shan,202401010884.0,13.525925925925925
2024-01-01 10:00:00,King's Park,202401010982.85715,18.54351851851852
2024-01-01 10:00:00,Ta Kwu Ling,202401010982.85715,18.91111111111111
2024-01-01 10:00:00,Tai Mo Shan,202401010982.85715,14.051851851851852
2024-01-01 11:00:00,King's Park,202401011084.0,18.82777777777778
2024-01-01 11:00:00,Ta Kwu Ling,202401011084.0,19.366666666666667
2024-01-01 11:00:00,Tai Mo Shan,202401011084.0,14.577777777777778
2024-01-01 12:00:00,King's Park,202401011182.85715,19.112037037037037
2024-01-01 12:00:00,Ta Kwu Ling,202401011182.85715,19.822222222222223
2024-01-01 12:00:00,Tai Mo Shan,202401011182.85715,15.103703703703705
2024-01-01 13:00:00,King's Park,202401011284.0,19.3962962962963
2024-01-01 13:00:00,Ta Kwu Ling,202401011284.0,20.27777777777778
2024-01-01 13:00:00,Tai Mo Shan,202401011284.0,15.62962962962963
2024-01-01 14:00:00,King's Park,202401011382.85715,19.680555555555557
2024-01-01 14:00:00,Ta Kwu Ling,202401011382.85715,20.73333333333333
2024-01-01 14:00:00,Tai Mo Shan,202401011382.85715,16.155555555555555
2024-01-01 15:00:00,King's Park,202401011484.0,19.964814814814815
2024-01-01 15:00:00,Ta Kwu Ling,202401011484.0,21.188888888888886
2024-01-01 15:00:00,Tai Mo Shan,202401011484.0,16.681481481481484
2024-01-01 16:00:00,King's Park,202401011582.85715,20.249074074074077
2024-01-01 16:00:00,Ta Kwu Ling,202401011582.85715,21.644444444444442
2024-01-01 16:00:00,Tai Mo Shan,202401011582.85715,17.20740740740741
2024-01-01 17:00:00,King's Park,202401011684.0,20.533333333333335
2024-01-01 17:00:00,Ta Kwu Ling,202401011684.0,22.099999999999998
2024-01-01 17:00:00,Tai Mo Shan,202401011684.0,17.733333333333334
2024-01-01 18:00:00,King's Park,202401011782.85715,19.285714285714285
2024-01-01 18:00:00,Ta Kwu Ling,202401011782.85715,19.5
2024-01-01 18:00:00,Tai Mo Shan,202401011782.85715,15.542857142857143
2024-01-01 19:00:00,King's Park,202401011884.0,19.28
2024-01-01 19:00:00,Ta Kwu Ling,202401011884.0,17.84
2024-01-01 19:00:00,Tai Mo Shan,202401011884.0,14.0
2024-01-01 20:00:00,King's Park,202401011982.85715,19.414285714285715
2024-01-01 20:00:00,Ta Kwu Ling,202401011982.85715,17.442857142857143
2024-01-01 20:00:00,Tai Mo Shan,202401011982.85715,13.385714285714286
2024-01-01 21:00:00,King's Park,202401012084.0,19.3
2024-01-01 21:00:00,Ta Kwu Ling,202401012084.0,17.24
2024-01-01 21:00:00,Tai Mo Shan,202401012084.0,13.080000000000002
2024-01-01 22:00:00,King's Park,202401012182.85715,18.714285714285715
2024-01-01 22:00:00,Ta Kwu Ling,202401012182.85715,17.8
2024-01-01 22:00:00,Tai Mo Shan,202401012182.85715,12.700000000000001
2024-01-01 23:00:00,King's Park,202401012284.0,18.64
2024-01-01 23:00:00,Ta Kwu Ling,202401012284.0,17.14
2024-01-01 23:00:00,Tai Mo Shan,202401012284.0,12.38
2024-01-02 00:00:00,King's Park,202401016725.7143,18.342857142857145
2024-01-02 00:00:00,Ta Kwu Ling,202401016725.7143,16.7
2024-01-02 00:00:00,Tai Mo Shan,202401016725.7143,12.142857142857142
2024-01-02 01:00:00,King's Park,202401020084.0,18.28
2024-01-02 01:00:00,Ta Kwu Ling,202401020084.0,16.14
